trait,Forestecology_YN,main_category,category2,category3,category4
carbon stock,Y,Biochemical,Physiological,,
plant calcium,Y,Biochemical,Physiological,,
plant magnesium,Y,Biochemical,Physiological,,
plant nitrogen,Y,Biochemical,Physiological,,
plant phosphorus,Y,Biochemical,Physiological,,
plant potassium,Y,Biochemical,Physiological,,
species abundance,Y,Biodiversity,Population,,
species richness,Y,Biodiversity,,,
aboveground biomass,Y,Morphological,,,
basal area,Y,Morphological,,,
canopy structure,Y,Morphological,Biodiversity,,
canopy/tree height,Y,Morphological,,,
canopy/vegetation volume,Y,Morphological,Phenological,,
forest gap size,Y,Morphological,Phenological,,
land cover classification,Y,Morphological,Biodiversity,,
leaf area index,Y,Morphological,Phenological,,
leaf mass per area,Y,Morphological,Phenological,,
plant area index,Y,Morphological,Phenological,,
plant/canopy cover,Y,Morphological,Phenological,,
plant/canopy temperature,Y,Morphological,Physiological,Phenological,
stem volume,Y,Morphological,,,
leaf dry matter content,Y,Morphological,Phenological,,
crown size,Y,Morphological,Phenological,,
leaf angle,Y,Morphological,Phenological,,
stem diameter; DBH,Y,Morphological,,,
wood density or stem-specific density,Y,Morphological,,,
budburst,Y,Phenological,Physiological,Biodiversity,
leaf flushing,Y,Phenological,Physiological,Biodiversity,
senescence,Y,Phenological,Physiological,Biodiversity,
water content/stress,Y,Physiological,Phenological,,
NDVI,Y,Physiological,Morphological,,
fraction of absorbed PAR (faPAR),Y,Physiological,,,
leaf anthocyanin,Y,Physiological,,,
leaf carotenoids,Y,Physiological,Morphological,Phenological,
leaf chlorophyll,Y,Physiological,Biochemical,Morphological,Phenological
photosynthetic efficiency,Y,Physiological,Phenological,Biochemical,Phenological
photosynthetic pigments,Y,Physiological,Biochemical,Morphological,
stomatal conductance,Y,Physiological,Biochemical,Phenological,
vegetation health,Y,Physiological,Biodiversity,,
water use,Y,Physiological,Phenological,Biochemical,
NBR,Y,Physiological,,,
specific leaf area,Y,Physiological,Morphological,,
count of individuals,Y,Population,,,
individual or stem density,Y,Population,,,
longevity,Y,Population,Physiological,Biodiversity,
