trait_category,trait_full,trait_clean,Forest ecology - Y/N,"Year of earliest publication w/o ""remote sens*""","Count of references w/o ""remote sens*""","Search (w/o ""remote sens*"")","Year of earliest publication w/ ""remote sens*""","Count of references w/ ""remote sens*""",add to search in first TS,List of references (horizontal),,,,,,,,,,,,,,,,,,,,,
,,,,,base search,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"") NOT ALL=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS=(forest OR tree) AND ",,," OR ""remote sens*""",,,,,,,,,,,,,,,,,,,,,,
Biochemical,carbon stock,AGC,Y,2006,256,TS=(carbon) ,1991,4751,,Cunliffe et al. 2016,Jayathunga et al. 2018,Messinger et al. 2016,McClelland et al. 2018,Wehrhan et al. 2016,Dandois & Ellis 2013,Scholefield et al 2019,Swinfield et al. 2019,Li et al. 2019,,,,,,,,,,,,,
Biochemical,plant calcium,foliar calcium,Y,2018,3,TS=(calcium),1997,45,,Thomson et al. 2018,,,,,,,,,,,,,,,,,,,,,
Biochemical,plant magnesium,foliar magnesium,Y,2018,3,TS =(magnesium),1997,22,,Thomson et al. 2018,,,,,,,,,,,,,,,,,,,,,
Biochemical,plant nitrogen,foliar nitrogen,Y,2011,167,TS =(nitrogen) ,1988,1023,,Papadopoulos et al. 2014,Liu et al. 2016,van der Meij et al. 2017,Maimaitijiang et al. 2017,Joalland et al. 2018,Thomson et al. 2018,Li et al. 2018,,,,,,,,,,,,,,,
Biochemical,plant phosphorus,foliar phosphorus,Y,2021,3,TS =(phosphorous) ,2001,26,,Thomson et al. 2018,,,,,,,,,,,,,,,,,,,,,
Biochemical,plant potassium,foliar potassium,Y,2018,10,TS =(potassium),1997,68,,Thomson et al. 2018,,,,,,,,,,,,,,,,,,,,,
Biochemical,iron deficiency chlorosis,iron deficiency chlorosis,N,2009,,"ALL=( ""iron deficien*"" OR ""chloros*"" OR  ""iron deficien* chloros*"") ",1990,,,Zhang et al 2017,,,,,,,,,,,,,,,,,,,,,
Biodiversity,species abundance,species abundance,Y,2020,2,"TS =( ""species abundance"" ) ",1989,36,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity,species richness,species richness,Y,2012,23,"TS =( ""species richness"" )",1991,428,,Getzin et al. 2011,,,,,,,,,,,,,,,,,,,,,
Morphological,growth,growth,N,2006,,"ALL=( ""plant growth"" OR ""crop growth"" OR ""veg* growth"" )",1990,,,Inostroza et al. 2016,,,,,,,,,,,,,,,,,,,,,
